date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,price_change,price_change_pct,volume_ma,volume_ratio,daily_range,daily_range_pct,ma_5,ma_20,ma_50,price_vs_ma5,price_vs_ma20,price_vs_ma50
2025-06-30 00:00:00-04:00,202.00999450683594,207.38999938964844,199.25999450683594,205.1699981689453,91912800,0.0,0.0,AAPL,,,,,8.1300048828125,0.03962570042096469,,,,,,
2025-07-01 00:00:00-04:00,206.6699981689453,210.19000244140625,206.13999938964844,207.82000732421875,78788900,0.0,0.0,AAPL,2.6500091552734375,0.012916163079025322,,,4.0500030517578125,0.019488032475330572,,,,,,
2025-07-02 00:00:00-04:00,208.91000366210938,213.33999633789062,208.13999938964844,212.44000244140625,67941800,0.0,0.0,AAPL,4.6199951171875,0.022230752354752248,,,5.1999969482421875,0.024477484882709014,,,,,,
2025-07-03 00:00:00-04:00,212.14999389648438,214.64999389648438,211.80999755859375,213.5500030517578,34955800,0.0,0.0,AAPL,1.1100006103515625,0.005225007520218483,,,2.839996337890625,0.013298975871249692,,,,,,
2025-07-07 00:00:00-04:00,212.67999267578125,216.22999572753906,208.8000030517578,209.9499969482422,50229000,0.0,0.0,AAPL,-3.600006103515625,-0.016857907057220234,,,7.42999267578125,0.03538934405230273,209.78600158691407,,,0.0007817269030707674,,
2025-07-08 00:00:00-04:00,210.10000610351562,211.42999267578125,208.4499969482422,210.00999450683594,42848900,0.0,0.0,AAPL,0.05999755859375,0.00028577070476720756,,,2.9799957275390625,0.014189780512765367,210.75400085449218,,,-0.0035302122125306923,,
2025-07-09 00:00:00-04:00,209.52999877929688,211.3300018310547,207.22000122070312,211.13999938964844,48749400,0.0,0.0,AAPL,1.1300048828125,0.005380719548448543,,,4.1100006103515625,0.019465760264433644,211.41799926757812,,,-0.001314930038562312,,
2025-07-10 00:00:00-04:00,210.50999450683594,213.47999572753906,210.02999877929688,212.41000366210938,44443600,0.0,0.0,AAPL,1.2700042724609375,0.0060149866256142825,,,3.4499969482421875,0.01624215850836414,211.41199951171876,,,0.004720659909066782,,
2025-07-11 00:00:00-04:00,210.57000732421875,212.1300048828125,209.86000061035156,211.16000366210938,39765800,0.0,0.0,AAPL,-1.25,-0.005884845244805148,,,2.2700042724609375,0.010750162119211346,210.93399963378906,,,0.0010714442845283223,,
2025-07-14 00:00:00-04:00,209.92999267578125,210.91000366210938,207.5399932861328,208.6199951171875,38840100,0.0,0.0,AAPL,-2.540008544921875,-0.012028833590031152,,,3.3700103759765625,0.01615382252350038,210.66799926757812,,,-0.009721477194024941,,
2025-07-15 00:00:00-04:00,209.22000122070312,211.88999938964844,208.9199981689453,209.11000061035156,42296300,0.0,0.0,AAPL,0.4900054931640625,0.0023487944810314243,,,2.970001220703125,0.014203056821932318,210.48800048828124,,,-0.006546690902726304,,
2025-07-16 00:00:00-04:00,210.3000030517578,212.39999389648438,208.63999938964844,210.16000366210938,47490500,0.0,0.0,AAPL,1.0500030517578125,0.005021295245053015,,,3.7599945068359375,0.017891104117418906,210.29200134277343,,,-0.0006276875954445149,,
2025-07-17 00:00:00-04:00,210.57000732421875,211.8000030517578,209.58999633789062,210.02000427246094,48068100,0.0,0.0,AAPL,-0.1399993896484375,-0.0006661562010320532,,,2.2100067138671875,0.010522839105365053,209.81400146484376,,,0.0009818353693220594,,
2025-07-18 00:00:00-04:00,210.8699951171875,211.7899932861328,209.6999969482422,211.17999267578125,48974600,0.0,0.0,AAPL,1.1599884033203125,0.005523228167424676,,,2.089996337890625,0.009896753529579565,209.81799926757813,,,0.006491308719735578,,
2025-07-21 00:00:00-04:00,212.10000610351562,215.77999877929688,211.6300048828125,212.47999572753906,51377400,0.0,0.0,AAPL,1.3000030517578125,0.006155900638530998,,,4.149993896484375,0.019531221667595806,210.58999938964843,,,0.008974767763751279,,
2025-07-22 00:00:00-04:00,213.13999938964844,214.9499969482422,212.22999572753906,214.39999389648438,46404100,0.0,0.0,AAPL,1.9199981689453125,0.00903613614246912,,,2.720001220703125,0.012686573218917084,211.647998046875,,,0.013002702009966116,,
2025-07-23 00:00:00-04:00,215.0,215.14999389648438,212.41000366210938,214.14999389648438,46989300,0.0,0.0,AAPL,-0.25,-0.0011660448093142595,,,2.739990234375,0.012794724783879536,212.44599609375,,,0.008020851576710397,,
2025-07-24 00:00:00-04:00,213.89999389648438,215.69000244140625,213.52999877929688,213.75999450683594,46022600,0.0,0.0,AAPL,-0.3899993896484375,-0.0018211505989440546,,,2.160003662109375,0.010104807810707064,213.193994140625,,,0.002654860745456178,,
2025-07-25 00:00:00-04:00,214.6999969482422,215.24000549316406,213.39999389648438,213.8800048828125,40268800,0.0,0.0,AAPL,0.1200103759765625,0.0005614258002459849,,,1.8400115966796875,0.00860300895208906,213.73399658203124,,,0.0006831309156061227,,
2025-07-28 00:00:00-04:00,214.02999877929688,214.85000610351562,213.05999755859375,214.0500030517578,37796900,0.0,0.0,AAPL,0.1699981689453125,0.0007948296477664485,49708235.0,0.7603750163328068,1.790008544921875,0.00836257191965116,214.047998046875,211.27299957275392,,9.367080753497348e-06,0.013144147546632512,
